SH.1d	SH.3d	AH.1d	AH.3d	SC.1d	SC.3d	Met
NA	NA	K03505	K08810	K07048	NA	K01442
NA	NA	K03509	K08815	K07071	NA	K01444
NA	NA	K03511	K08823	K07071	NA	K01456
NA	NA	K03522	K08824	K07151	NA	K01463
NA	NA	K03537	K08835	K07179	NA	K01464
NA	NA	K03555	K08869	K07189	NA	K01469
NA	NA	K03574	K08874	K07189	NA	K01477
NA	NA	K03575	K08874	K07190	NA	K01477
NA	NA	K03593	K08874	K07190	NA	K01482
NA	NA	K03593	K08874	K07206	NA	K01487
NA	NA	K03626	K08874	K07206	NA	K01490
NA	NA	K03626	K08874	K07208	NA	K01493
NA	NA	K03627	K08880	K07213	NA	K01493
NA	NA	K03644	K08880	K07213	NA	K01493
NA	NA	K03649	K08892	K07305	NA	K01512
NA	NA	K03652	K09038	K07342	NA	K01517
NA	NA	K03661	K09142	K07369	NA	K01519
NA	NA	K03678	K09207	K07375	NA	K01530
NA	NA	K03681	K09228	K07380	NA	K01534
NA	NA	K03685	K09228	K07390	NA	K01534
NA	NA	K03691	K09257	K07390	NA	K01539
NA	NA	K03695	K09275	K07424	NA	K01539
NA	NA	K03695	K09322	K07424	NA	K01539
NA	NA	K03766	K09349	K07426	NA	K01540
NA	NA	K03842	K09452	K07478	NA	K01551
NA	NA	K03848	K09454	K07526	NA	K01562
NA	NA	K03848	K09486	K07561	NA	K01562
NA	NA	K03848	K09497	K07565	NA	K01562
NA	NA	K03857	K09517	K07573	NA	K01562
NA	NA	K03858	K09530	K07575	NA	K01578
NA	NA	K03861	K09530	K07579	NA	K01580
NA	NA	K03868	K09566	K07595	NA	K01587
NA	NA	K03871	K09569	K07809	NA	K01592
NA	NA	K03872	K09571	K07817	NA	K01592
NA	NA	K03875	K09583	K07817	NA	K01596
NA	NA	K03934	K09586	K07820	NA	K01596
NA	NA	K03934	K09598	K07834	NA	K01599
NA	NA	K03935	K09598	K07847	NA	K01611
NA	NA	K03936	K09602	K07874	NA	K01613
NA	NA	K03937	K09606	K07876	NA	K01613
NA	NA	K03938	K09611	K07897	NA	K01613
NA	NA	K03939	K09640	K07901	NA	K01613
NA	NA	K03952	K09657	K07904	NA	K01613
NA	NA	K03954	K09660	K07910	NA	K01620
NA	NA	K03954	K09850	K07917	NA	K01623
NA	NA	K03955	K10089	K07918	NA	K01634
NA	NA	K03964	K10104	K07933	NA	K01637
NA	NA	K03992	K10105	K07941	NA	K01638
NA	NA	K03992	K10143	K07955	NA	K01640
NA	NA	K04078	K10144	K08024	NA	K01640
NA	NA	K04150	K10153	K08036	NA	K01672
NA	NA	K04150	K10169	K08040	NA	K01672
NA	NA	K04150	K10249	K08045	NA	K01672
NA	NA	K04163	K10251	K08105	NA	K01672
NA	NA	K04221	K10251	K08105	NA	K01672
NA	NA	K04224	K10268	K08136	NA	K01672
NA	NA	K04231	K10270	K08187	NA	K01672
NA	NA	K04237	K10352	K08187	NA	K01681
NA	NA	K04249	K10352	K08187	NA	K01681
NA	NA	K04256	K10356	K08202	NA	K01689
NA	NA	K04282	K10359	K08202	NA	K01689
NA	NA	K04307	K10362	K08252	NA	K01691
NA	NA	K04314	K10365	K08266	NA	K01692
NA	NA	K04348	K10370	K08292	NA	K01715
NA	NA	K04353	K10380	K08339	NA	K01735
NA	NA	K04354	K10380	K08343	NA	K01745
NA	NA	K04362	K10395	K08375	NA	K01745
NA	NA	K04364	K10395	K08465	NA	K01749
NA	NA	K04368	K10396	K08469	NA	K01756
NA	NA	K04371	K10396	K08493	NA	K01758
NA	NA	K04382	K10397	K08504	NA	K01758
NA	NA	K04392	K10407	K08513	NA	K01759
NA	NA	K04398	K10408	K08518	NA	K01769
NA	NA	K04403	K10408	K08576	NA	K01769
NA	NA	K04403	K10408	K08632	NA	K01783
NA	NA	K04409	K10408	K08654	NA	K01784
NA	NA	K04418	K10408	K08658	NA	K01785
