CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K01074	-0.487551703	K04424	0.938254157	K00710	0.528249132	K01228	-0.235029091	K11427	1.096959979	NA	NA	K07424	NA	K17341	NA	NA	K07901	K20347	K14010
K01074	-0.370228491	K04448	0.664556739	K00720	-0.23702445	K01229	-0.573498784	K11463	0.957227308	NA	NA	K06238	NA	K06240	NA	NA	K09594	K20352	K14396
K01081	0.779989102	K04600	0.380659997	K00729	-0.361355481	K01230	-0.240664889	K11465	0.564634205	NA	NA	K01596	NA	K01291	NA	NA	K10426	K20778	K14560
K01135	-0.431816991	K04628	-0.310328736	K00738	0.504181722	K01262	0.416659869	K11540	0.914916348	NA	NA	K06254	NA	K22614	NA	NA	K08288	K21774	K14785
K01135	-0.318135958	K04696	1.277342354	K00744	-0.30756603	K01265	-0.341832572	K11540	1.233811863	NA	NA	K04967	NA	K22614	NA	NA	K12323	K22378	K14819
K01197	0.45036668	K04696	1.690283494	K00746	0.21867773	K01267	-0.327603715	K11590	-0.464348456	NA	NA	K08202	NA	K16360	NA	NA	K12175	K22556	K14965
K01201	-0.4263492	K04908	-0.24275777	K00750	-0.305001826	K01273	-0.471215045	K11649	1.22253556	NA	NA	K00408	NA	K19511	NA	NA	K00232	K22758	K15133
K01265	-0.279124659	K04958	0.736441089	K00750	0.408740358	K01276	-0.286404354	K11653	0.866799246	NA	NA	K11150	NA	K06530	NA	NA	K19371	K23341	K15186
K01275	-0.354339309	K05015	-0.522774908	K00758	-0.295857504	K01278	-0.959062467	K11789	0.8359914	NA	NA	K07374	NA	K20644	NA	NA	K13202	K23583	K15235
K01276	-0.333341729	K05016	-0.962698204	K00761	-0.815424622	K01291	0.754002969	K11796	-0.586140751	NA	NA	K09452	NA	K20644	NA	NA	K10457	K23961	K15376
K01302	0.480930823	K05016	-0.287805638	K00763	-0.550083976	K01303	-0.40121386	K11797	0.646595187	NA	NA	K06238	NA	K00901	NA	NA	K10442	NA	K15376
K01304	-0.494205188	K05041	-0.488802122	K00767	-0.596657067	K01312	0.461302596	K11797	0.922222698	NA	NA	K13907	NA	K21919	NA	NA	K04962	NA	K15683
K01312	-0.527528327	K05129	-0.618951041	K00772	-0.46364017	K01332	0.491132114	K11849	0.748261753	NA	NA	K14073	NA	K12616	NA	NA	K23843	NA	K16472
K01338	-0.446817065	K05399	-0.251751617	K00789	-0.273655237	K01332	1.263890796	K11849	1.015822758	NA	NA	K04967	NA	K18260	NA	NA	K05120	NA	K16573
K01392	0.339740029	K05463	1.281635487	K00789	-0.269927476	K01338	-0.395900547	K12035	0.442047532	NA	NA	K14718	NA	K18260	NA	NA	K06767	NA	K16575
K01415	0.392127416	K05497	-1.267271436	K00797	-0.440303779	K01345	-1.034751852	K12171	0.781577782	NA	NA	K00544	NA	K09453	NA	NA	K13420	NA	K16910
K01415	0.505542769	K05641	0.589900597	K00798	-0.549264293	K01358	-0.699606532	K12191	-0.565430658	NA	NA	K00907	NA	K09395	NA	NA	K00504	NA	K16910
K01415	0.586526466	K05643	-0.449728993	K00799	-0.413716234	K01360	-0.334604563	K12192	-0.531618787	NA	NA	K01592	NA	K18435	NA	NA	K12757	NA	K17255
K01415	0.681629129	K05699	-0.325297825	K00804	-0.517683888	K01362	-1.114737352	K12193	-0.613972544	NA	NA	K09442	NA	K09228	NA	NA	K23033	NA	K17341
