Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.17325,midnightblue,M17,-0.174101127,-0.330564438,-0.369924926,-0.228492671
aug_v2a.17326,yellow,M12,-0.370455748,0.158213056,-0.460860267,-0.477706478
aug_v2a.17327,pink,M19,0.076120968,0.247233667,0.302023901,0.111960694
aug_v2a.17328,grey,M26,-0.134719055,-0.013091035,0.118775012,0.104364624
aug_v2a.17329,black,M24,0.188914299,0.216149073,-0.217779626,-0.031226613
aug_v2a.17331,brown,M21,0.135333842,0.138426264,-0.168383255,-0.112169381
aug_v2a.17334,green,M18,0.092778593,-0.215275131,0.499895584,0.270443761
aug_v2a.02626,green,M18,0.505922098,0.096181733,0.230330433,0.350728134
aug_v2a.17338,green,M18,0.301393877,0.359754229,0.097183006,0.058057454
aug_v2a.17341,greenyellow,M15,-0.190233099,0.183058575,-0.539583509,-0.286977285
aug_v2a.17342,blue,M11,-0.29175297,-0.651066753,-0.227531794,-0.261202056
aug_v2a.17343,yellow,M12,-0.378537321,-0.290179262,-0.398538428,-0.353312041
aug_v2a.17345,grey,M26,0.016836164,0.188357967,-0.215069384,-0.29414861
aug_v2a.02627,green,M18,-0.133487544,0.033058314,0.014374741,-0.21267493
aug_v2a.02628,red,M10,-0.055800773,-0.522434891,0.358226055,0.001459116
aug_v2a.02629,lightcyan,M1,0.079723571,0.530738307,0.626536136,0.326175094
aug_v2a.17347,brown,M21,0.032665722,-0.133173934,-0.063965768,-0.025702498
aug_v2a.17349,turquoise,M20,0.068067939,-0.110485809,0.372122278,0.29856981
aug_v2a.17350,grey,M26,0.116098561,-0.068570198,0.005830374,0.169750129
aug_v2a.17358,pink,M19,0.205160905,0.261833466,-0.048204931,-0.198175461
aug_v2a.17360,turquoise,M20,0.34576638,0.054454722,0.135864412,0.329974102
aug_v2a.17361,blue,M11,-0.180033231,-0.220089109,-0.335179177,-0.338260474
aug_v2a.02636,blue,M11,-0.101177551,-0.452707217,-0.120805286,-0.169278504
aug_v2a.02637,salmon,M23,0.157689028,0.039657983,-0.131144082,0.176518368
aug_v2a.02639,pink,M19,0.246106999,0.193140648,0.221128909,0.073477329
aug_v2a.17364,green,M18,0.237886283,-0.346225489,0.461981331,0.216705901
aug_v2a.00198,turquoise,M20,0.162947727,0.250806572,0.387018201,0.263490181
aug_v2a.00199,turquoise,M20,0.048109296,0.59531601,0.01107531,0.227123023
aug_v2a.02640,brown,M21,-0.239578179,-0.003956981,-0.134264557,-0.023171772
aug_v2a.02641,grey,M26,-0.073497858,0.171402511,-0.394434893,-0.257534095
aug_v2a.02643,brown,M21,0.170786553,0.195874118,-0.165670867,-0.000904754
aug_v2a.02644,black,M24,0.21135161,0.263910172,0.095110671,0.113547759
aug_v2a.02645,brown,M21,0.14949561,0.240117555,-0.016232618,0.18801241
aug_v2a.17366,brown,M21,-0.088118734,0.595285059,0.14387171,0.130825778
aug_v2a.17371,grey,M26,-0.152969398,-0.231648918,0.299924921,0.07280608
aug_v2a.17373,yellow,M12,-0.326569366,-0.109963539,-0.259082753,-0.384306903
aug_v2a.17377,red,M10,-0.11564907,-0.15912381,0.036664196,0.028504729
aug_v2a.17378,blue,M11,-0.309708555,-0.536140502,-0.409356239,-0.414284435
aug_v2a.17380,turquoise,M20,0.15489816,0.389214865,-0.17963083,-0.162715591
aug_v2a.17381,brown,M21,0.408153353,-0.107724931,-0.11132852,-0.120505703
aug_v2a.17382,turquoise,M20,0.190582135,0.432314987,0.138284998,0.167747045
aug_v2a.17383,turquoise,M20,0.307303833,0.536945194,0.588403933,0.527616343
aug_v2a.17385,black,M24,0.177828705,0.124947519,-0.006288255,0.11528602
aug_v2a.17387,turquoise,M20,0.173644529,0.151041516,0.082745815,0.051664101
aug_v2a.17388,grey,M26,-0.150893848,0.228345348,-0.127429583,-0.069325793
aug_v2a.17390,grey,M26,0.062840609,-0.166446691,-0.185618628,-0.257715082
aug_v2a.17396,purple,M6,0.128241119,-0.430200999,0.130257672,0.033145423
aug_v2a.17397,greenyellow,M15,0.025470424,0.368580893,-0.317662782,-0.032274232
aug_v2a.02649,turquoise,M20,0.24952849,0.347115266,-0.111911039,0.050845145
aug_v2a.17398,purple,M6,0.097899336,0.221740464,-0.039417348,-0.06548269
aug_v2a.17399,green,M18,0.335578145,0.05339031,0.147753012,-0.041866235
aug_v2a.17401,grey,M26,-0.029277922,-0.010542323,0.092770055,0.136346903
aug_v2a.17402,black,M24,0.118440452,-0.145712107,-0.040415637,0.028230105
aug_v2a.17403,green,M18,0.552533582,0.212361716,0.194528513,0.1804472
aug_v2a.02650,grey,M26,-0.022090597,-0.237309809,0.041732136,-0.16757122
aug_v2a.17406,green,M18,0.290639575,-0.302345407,-0.118718802,-0.163353965
aug_v2a.02652,yellow,M12,-0.39975298,-0.349050711,-0.488918538,-0.394925049
aug_v2a.02654,red,M10,-0.374254843,-0.244929617,0.211843781,0.061176627
aug_v2a.02655,red,M10,-0.270204363,-0.223305977,0.37500774,0.176744497
aug_v2a.02656,yellow,M12,-0.446120196,-0.443458129,-0.17180059,-0.287961801
aug_v2a.02660,brown,M21,0.221784172,0.09386566,-0.171812451,-0.064676039
aug_v2a.17410,turquoise,M20,0.083368897,0.55966655,0.10148007,0.036126486
aug_v2a.17412,lightcyan,M1,-0.170428404,0.081981389,0.845283413,0.391304376
aug_v2a.02661,yellow,M12,-0.338620465,-0.44814401,-0.250610821,-0.250855495
aug_v2a.17413,turquoise,M20,0.42759914,0.35818803,0.082455078,0.163479292
aug_v2a.17415,brown,M21,-0.221035774,0.418861808,-0.174861894,0.029027304
aug_v2a.17417,green,M18,0.20580007,0.002529484,0.417693013,0.261284626
aug_v2a.02664,pink,M19,-0.037426146,0.080346899,0.548865666,0.150647419
aug_v2a.02665,green,M18,0.409363287,0.306893558,0.391890661,0.388769219
aug_v2a.17421,blue,M11,-0.386861727,-0.494554776,0.023918688,-0.057119538
aug_v2a.17422,blue,M11,-0.23022725,-0.436433357,-0.071101623,-0.209053046
aug_v2a.17423,pink,M19,0.373383698,0.191318884,0.27582011,0.346232416
aug_v2a.02672,yellow,M12,-0.478017335,-0.242405887,-0.303887249,-0.245498878
aug_v2a.17424,red,M10,0.202174386,0.045538788,0.116131491,0.101339836
aug_v2a.17425,black,M24,0.095134849,0.0759385,0.198620918,0.09275053
aug_v2a.17426,grey,M26,-0.043351189,-0.115262101,-0.102402661,0.071827404
aug_v2a.17427,black,M24,0.08606264,-0.019875505,-0.006957496,-0.098938668
aug_v2a.17428,brown,M21,0.168037357,0.189929302,0.030273221,0.125832932
